"OriginalText","ProcessedText"
"Manuela Barrios has performed flamenco around the world. Here are her favourite spots in Seville to see the spectacle.","Manuela barrio perform flamenco around world favorite spot Seville see spectacle"
"Chef Alejandro Ruiz thinks Oaxaca's street foods are a key to understanding its gastronomy. Here are his top street foods in the city, from memelas at Doña Vale to Tacos del Carmen.","chef Alejandro Ruiz think fracas street food key understand gastronomy top street food city melanomas dona vale tacos led Carmen"
"Author Charlie MacLean has made a life out of rating Scotch whisky. Here are his favourite ways to enjoy a dram, from cosy city pubs in Edinburgh to Victorian hotels in the Highlands.","author charlie ma clean make life rate scotch whisk favorite way enjoy dram cost city pub Edinburgh Victorian hotel highland"
"On Mount Chimaera, fire has been spitting out from rocks for over 2,500 years. Our local SpeciaList explains why.","mount chimera fire spit rock year local specialist explain"
"Find out how Japan's renowned Wajima-nuri lacquerware is crafted through more than 100 intricate steps.","find japans renowned manufacturing lacquer ware craft intricate step"
"Japan's popular hot spring baths come with a unique requirement, full nudity for anyone entering the onsen.","japans popular hot spring bath come unique requirement full nudity anyone enter onset"
"The BBC's Rajan Datar explores the stunning landscapes and bustling streets of the Portuguese island of Madeira.","BBC radian data explore stun landscape bustle street Portuguese island Madeira"
"A dive into 3,500 years of underwater archeology, sunken cities and Lycian tombs with Prof Hakan Öniz.","diva year underwater archaeology sink city billycan tomb prof hank ionize"
"In a disarmingly frank interview, Holocaust survivor Freddie Knoller recounts his story of survival.","disarmingly frank interview holocaust survivor Freddie knoll er recount story survival"
"In Sweden, a deep-rooted cultural code called Jantelagen stops many from talking about their wealth.","Sweden deep rooted cultural code call flagellant stop many talk wealth"
"Writer Carmen Roberts tours Puglia's coast, meeting local elders who are trying to preserve a pasta tradition.","writer Carmen Roberts tour pugilism coast meet local elder try preserve pasta tradition"
"Long before pumpkins became a sign of Halloween, people carved faces into turnips to ward off evil spirits.","long pumpkin become sign Halloween people carve face turnip ward evil spirit"
"Voodoo, often portrayed as something to be feared, is having a renaissance in New Orleans.","voodoo often portray something fear renaissance new Orleans"
"BBC travel reporter Lucy Hedges leaves city life behind to embrace nomadic living in the Mongolian countryside.","BBC travel reporter Lucy hedge leave city life behind embrace nomadic live Mongolian countryside"
"A treasure trove of photographs provides a window into early 20th century Jewish shtetl life.","treasure trove photograph provide window early 20th century Jewish shuttle life"
"The castle located in the Nabatean civilisation's second city, Hegra, has only recently opened up to the public.","castle locate abatement civilization 2 city hegira recently open public"
"BBC presenter Lucy Hedges explores Mongolia's Soviet history with a local historian.","BBC presenter Lucy hedge explore mongolism soviet history local historian"
"Vietnamese-American journalist W Lee Adams visits Vietnam, home to some of the world's rarest plants and animals.","vietnameseamerican journalist w lee Adams visit Vietnam home world rare plant animal"
"Vietnamese-American broadcaster William Lee Adams returns to Vietnam, where his father met his mother.","vietnameseamerican broadcaster William lee Adams return Vietnam father meet mother"
"How tourism is pushing locals to walk that delicate line between preserving and boosting economic growth.","tourism push local walk delicate line preserve boost economic growth"
"The Braai tradition in South Africa is more than just a BBQ, it's a phenomenon that ties the nation together.","braid tradition south Africa just BBQ phenomenon tie nation together"
"Today is widely considered an unlucky day. But where did the superstition come from, and why do people still believe in it?","today widely consider unlucky day superstition come people still believe"
"Mangal 2, a fixture on the London food scene, is redefining Turkish cuisine in a city constantly evolving.","manga fixture London food scene redefine Turkish cuisine city constantly evolve"
"Nearly a decade before Swedish climate activist Greta Thunberg was even born, Växjö set itself on a path to a new vision of green urban living.","nearly decade Swedish climate activist great thunderer even bear VAX set path new vision green urban live"
"Copenhagen's once-industrial port has been planned to make everything – from schools and play areas to businesses and recreational spaces – accessible within five minutes.","openhandedness once industrial port plan make everything school play area business recreational space accessible within five minute"
"This year's Global Responsible Tourism Award winners demonstrate that travel can be inclusive, climate-friendly, nature-positive and a positive force for local communities.","year global responsible tourism award winner demonstrate travel can inclusive climate friendly nature positive positive force local community"
"The fuel-guzzling town of Queenstown, New Zealand, has an audacious goal to become the first tourist destination to have a carbon-zero visitor economy by 2030.","fuel guzzling town queens town new Zealand audacious goal become first tourist destination carbon zero visitor economy"
"British-born gin connoisseur Simon Ford breaks down the components of a proper (and perfect) martini, a staple of any festive holiday gathering.","bronchitis gin connoisseur Simon ford break component proper perfect martini staple festive holiday gather"
"The legendary chef explains how to make the perfect roastie, why turkey still triumphs over beef and the unusual ingredient in his Christmas pudding.","legendary chef explain make perfect roaster turkey still triumph beef unusual ingredient Christmas pudding"
"Whether for a reunion, a celebration or a holiday, Hmong meals begin as assembly lines and end as celebratory feasts.","whether reunion celebration holiday Hmong meal begin assembly line end celebratory feast"
"One of the Philippines' most acclaimed chefs shares his delicious take on Christmas dining – which is centred around sharing food and smoky flavours.","one Philippines acclaim chef share delicious take Christmas dine center around share food smoky flavor"
"Nearly 500 years after the collapse of the largest empire in the Americas, a single bridge remains from the Inca's extraordinary road system – and it's rewoven every year from grass.","nearly year collapse large empire Americas single bridge remain Incas extraordinary road system rewoven every year grass"
"Once an important port that supplied food to ancient Rome, off-the-beaten-path Testaccio remains the city's favourite culinary destination.","important port supply food ancient more offthebeatenpath testatrices remain city favorite culinary destination"
"Christmas has become the dominant festival in the Western cultural calendar, but echoes of the pre-Christian past can still be found across the continent.","Christmas become dominant festival western cultural calendar echo christian past can still find across continent"
"The BBC speaks to residents and travellers in some of the top-ranked countries on the 2024 Global Innovation Index to find out how cutting-edge technology benefits day-to-day life.","BBC speak resident traveler top ranked country global innovation index find cutting edge technology benefit day today life"
"The Vjosa winds some 272km from Greece to Albania, its blue-green waters slipping past Illyrian ruins, timeworn villages and stark mountainous landscapes.","samosa wind 272km Greece Albania blue green water slip past angrily ruin timeworn village stark mountainous landscape"
"Once a debauched riverside party town, Vang Vieng had cleaned up its act in recent years, but it's in the headlines for all the wrong reasons once again.","debauch riverside party town Vang viewing clean act recent year headline wrong reason"
"Greenland is about to open up to adventure-seeking visitors. How many tourists will come is yet to be seen, but the three new airports will bring profound change.","Greenland open adventure seeking visitor many tourist will come yet see three new airport will bring profound change"
"Linking eight Balkan nations, the new Trans Dinarica cycling trail twists through some of the continent's most stunning – and least-visited – landscapes.","link eight Balkan nation new trans cardinal cycle trail twist continent stun least visited landscape"
"Four hundred years after Europeans arrived, New York City's Native community isn't just thriving – it's growing.","four hundred year European arrive new York city native community is newt just thrive grow"
"Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.","copyright BBC right reserve BBC responsible content external site read approach external link"
" ",""
